"","p.name","p.id","p.owner","track.name","track.id","added.at","track.duration","track.popularity","track.dance","track.energy","track.key","track.loudness","track.speechiness","track.acousticness","track.instrumentalness","track.liveness","track.valence","track.tempo"
"25","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Danse Caribe","4NSrC1oaMZ2Q9B71L0NK5K","2017-04-13T12:55:01Z",319053,38,0.402,0.669,7,-7.27,0.0426,0.149,0.00823,0.137,0.595,137.465
"26","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","DNA.","6HZILIRieu8S0iqY8kIKhj","2017-04-15T00:22:22Z",185946,92,0.637,0.514,1,-6.763,0.365,0.0047,0,0.094,0.379,139.931
"27","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Down in Flames","0hRYdaKG1LD7rYcFOV3Amz","2017-04-15T19:56:44Z",187508,73,0.818,0.381,8,-8.241,0.153,0.067,0.0267,0.0961,0.0538,137.093
"28","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Young Folks","6M6UoxIPn4NOWW0x7JPRfv","2017-04-15T20:29:05Z",279026,65,0.701,0.815,0,-5.995,0.038,0.0172,0.000627,0.0969,0.652,138.142
"29","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Brooklyn (Skinny Girls)","5d5mr0PSDv5VUqATeOovnJ","2017-04-15T20:29:14Z",313335,7,0.496,0.542,11,-6.096,0.0359,0.279,0.331,0.109,0.55,183.981
"30","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Curse the Weather","0zrGugNNUZ8AyEOaKUFjQA","2017-04-17T20:23:48Z",298040,48,0.598,0.677,8,-8.141,0.0617,0.444,1.88e-05,0.1,0.303,120.946
"31","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Firefight","6K8FeFOouLIapUrISpSaI6","2017-04-18T13:10:56Z",292379,45,0.858,0.368,11,-13.592,0.0961,0.241,6.61e-06,0.0628,0.641,81.888
"32","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Nakamarra (feat. Q-Tip)","12v5GBM74fB8WsHJPQRTIe","2017-04-20T02:04:08Z",275320,58,0.552,0.531,8,-6.767,0.125,0.656,5.21e-05,0.11,0.314,91.573
"33","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","All I Need - The Noisy Freaks Remix","4naynbPPdmDtoPjoQrIoDq","2017-04-20T15:55:32Z",207254,16,0.702,0.651,0,-4.647,0.0804,0.0989,7.05e-06,0.155,0.59,109.904
"34","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Mind Frame","0c22owVY5y7VCwOIWb5DGC","2017-04-21T17:53:31Z",128128,23,0.566,0.611,11,-5.291,0.0235,0.00361,0.708,0.0847,0.653,84.107
"35","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Acacia Road","4G0TXXsWu4URNOWso9kWON","2017-04-21T18:57:02Z",307500,17,0.504,0.793,7,-8.64,0.062,0.122,0.824,0.101,0.06,103.972
"36","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Little Brother","2nee1ADU7skh07cCf7xq8C","2017-04-21T21:38:52Z",215346,63,0.768,0.402,5,-9.624,0.0389,0.0417,0.0431,0.0866,0.275,144.94
"37","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Wakin on a Pretty Day","3cSlU4ZH4wzb5pM7wI1k3f","2017-04-23T20:28:38Z",570733,59,0.379,0.782,11,-8.163,0.0358,0.0472,0.748,0.265,0.529,101.698
"38","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Shiver","1ODA4mZMaoBzT1TbPBW8B1","2017-04-24T02:52:54Z",233013,61,0.423,0.183,9,-13.517,0.0344,0.715,4.25e-05,0.104,0.133,122.341
"39","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Just Tell Me","78UXazjKsdo5HpiVHl8lLW","2017-04-24T12:53:35Z",162344,56,0.639,0.628,9,-5.585,0.0241,0.24,7.75e-06,0.121,0.542,94.011
"40","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Night On the Sun","34aKcpbQjW5s6yK6xM7G9q","2017-04-24T12:53:44Z",561626,26,0.457,0.531,11,-11.678,0.0341,0.693,0.122,0.0732,0.413,82.836
"41","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Line Of Sight (feat. WYNNE & Mansionair)","2IUHcSxFPDKLRVgjXxvKjl","2017-04-25T14:47:00Z",237140,56,0.558,0.733,8,-6.65,0.0693,0.0334,0.00193,0.193,0.177,89.992
"42","Apr2017","32dlhauJfDaSzWongsjpfC","mark.rossi.06","Pretty Pimpin","3l9eg9RtisizG12a1D6nZl","2017-04-27T12:36:24Z",298760,68,0.566,0.664,8,-9.081,0.0281,0.0928,0.305,0.0903,0.761,91.117
"43","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Lost In Thought","0BSJ1iQEmGibLCPMHGtdo7","2017-03-02T04:33:41Z",376733,61,0.62,0.318,1,-15.88,0.0399,0.636,0.879,0.118,0.198,150.379
"44","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Worship","0C7RWyXGAeEUuD4JRcWKuF","2017-03-05T23:29:04Z",182241,36,0.41,0.882,1,-3.352,0.541,0.34,0,0.101,0.629,173.19
"45","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Nobody Knows (feat. WYNNE)","1FPat9MxjcvQNvhuVuBcmQ","2017-03-05T23:29:30Z",211964,56,0.582,0.621,4,-9.194,0.056,0.646,0.275,0.111,0.0603,184.98
"46","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Something for Your M.I.N.D.","0gnavFFJzThvFoS5pquUS2","2017-03-06T15:38:39Z",163631,50,0.713,0.553,2,-5.046,0.184,0.0948,0.00103,0.121,0.697,69.909
"47","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Pork Soda","5C5gvDZsl6d8bh89URfKHr","2017-03-08T23:01:45Z",253831,65,0.694,0.66,7,-7.824,0.0803,0.137,0.00126,0.357,0.607,96.017
"48","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","The Finishing","2SCLswvRP8hAYdIKsrLV6h","2017-03-09T13:55:06Z",482983,56,0.773,0.377,9,-12.653,0.0455,0.655,0.829,0.122,0.0361,119.975
"49","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Wen Uuu","7thpkmYQjsmilZSddZQZOg","2017-03-10T15:00:48Z",233793,61,0.67,0.652,10,-6.565,0.0454,0.456,0.816,0.0953,0.0548,174.049
"50","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Jungle","4QEaE0Yj9oCvCzehPlZ1On","2017-03-12T16:05:39Z",315598,60,0.59,0.697,1,-5.877,0.0291,0.269,9.86e-05,0.0881,0.489,146.059
"51","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Fading","2fKEunM0KZVpVLwlvmVlDZ","2017-03-12T16:05:50Z",280055,69,0.662,0.482,9,-9.786,0.0464,0.515,0.00553,0.119,0.282,98.05
